CISCO,,,,,,Back to Master Plan,
SE Development Program,,,,,,,
,,,,,,,
,,,,,,,
Security,,,,,,,
Level,Session Name,Main Topic,Topic    Description    ,Days,Trainer,Date,
Introductory   ,Part One,Introducing Cisco ISE    ,Introduction  ,2,Wael Talaat,,
,,,,,,,
,,NGFW      ,-­_-­_     ,1,Wael Talaat,,
,,,,,,,
,Part Two,Content  Security                ,ESA  ,2,Wael Talaat,,
,,,WSA  ,,,,
Intermediate,Part One,IPS,,3,Wael Talaat,,
,,,,,,,
,,,,,,,
